id,title,description,link,image_link,price,availability,condition,brand,category,game
7_wonders_duel_with_all_expansions_inserts,7 Wonders Duel Inserts (All Expansions),"Inserts for 7 Wonders Duel with Pantheon and Agora expansions. Dedicated slots for every card, token, and tile — nothing left loose in the box.",https://tabletopreboxing.shop/products/7_wonders_duel_with_all_expansions_inserts,https://tabletopreboxing.shop/feed-images/7_wonders_duel_with_all_expansions_inserts.jpg,1200 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,7 Wonders Duel
cascadia_board_game_Insert,Cascadia Inserts,"Clean inserts for Cascadia that organize all habitat tiles, wildlife tokens, and scoring cards. Speeds up setup so you can start playing sooner.",https://tabletopreboxing.shop/products/cascadia_board_game_Insert,https://tabletopreboxing.shop/feed-images/cascadia_board_game_Insert.jpg,590 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Cascadia
clank_caatacombs_token_holder,Clank! Catacombs Token Holder,A purpose-built holder for Clank! Catacombs tokens. Keeps everything sorted and within reach during those tense dungeon runs.,https://tabletopreboxing.shop/products/clank_caatacombs_token_holder,https://tabletopreboxing.shop/feed-images/clank_caatacombs_token_holder.jpg,190 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Clank! Catacombs
decrypto_inserts,Decrypto Inserts,"Tidy inserts for Decrypto that organize all code cards, screens, and tokens. No more digging through a jumbled box before game night.",https://tabletopreboxing.shop/products/decrypto_inserts,https://tabletopreboxing.shop/feed-images/decrypto_inserts.jpg,390 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Decrypto
funnel_tray,Stackable Funnel Tray,"A lightweight funnel tray for pouring tokens, cubes, and beads back into bags or containers. Stackable and surprisingly handy at the table.",https://tabletopreboxing.shop/products/funnel_tray,https://tabletopreboxing.shop/feed-images/funnel_tray.jpg,37 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
6_comartment_game_tray,Resource Tray - 6 Slots,"A roomy 6-slot tray for sorting resources, tokens, and bits during gameplay. Each section is sized to keep things separated and easy to grab.",https://tabletopreboxing.shop/products/6_comartment_game_tray,https://tabletopreboxing.shop/feed-images/6_comartment_game_tray.jpeg,146 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
universal_3_slot_card_and_resource_tray,Card & Resource Tray - 3 Medium Slots,A versatile 3-slot tray sized for cards and medium resources. Works with virtually any game that needs a bit of table organization.,https://tabletopreboxing.shop/products/universal_3_slot_card_and_resource_tray,https://tabletopreboxing.shop/feed-images/universal_3_slot_card_and_resource_tray.jpg,118 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
double_slot_resource_tray,Stackable Resource Tray - 2 Slots,"A simple two-slot tray for separating beads, tokens, or resources. Compact and useful — the kind of thing you end up wanting multiples of.",https://tabletopreboxing.shop/products/double_slot_resource_tray,https://tabletopreboxing.shop/feed-images/double_slot_resource_tray.jpg,38 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
brass_birmingham_inserts,Brass Birmingham Inserts,"Inserts for Brass Birmingham with a dedicated slot for every player mat, card stack, tile, and token. Makes setup and teardown a breeze for this heavyweight classic.",https://tabletopreboxing.shop/products/brass_birmingham_inserts,https://tabletopreboxing.shop/feed-images/brass_birmingham_inserts.jpg,980 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Brass Birmingham
lost_ruins_with_all_expensions,Lost Ruins of Arnak Inserts (All Expansions),Comprehensive inserts for Lost Ruins of Arnak with all expansions. Base game and expansion components each have their own space — no more sorting through a shared pile.,https://tabletopreboxing.shop/products/lost_ruins_with_all_expensions,https://tabletopreboxing.shop/feed-images/lost_ruins_with_all_expensions.jpg,1390 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Lost Ruins of Arnak
viticulture_insert_with_expension,Viticulture Inserts (All Expansions),"Inserts for Viticulture with all major expansions — Essential Edition, Tuscany, Bordeaux, Moor Visitors, Rhine Valley, metal coins, and sleeved cards. Does not include Viticulture Worlds.",https://tabletopreboxing.shop/products/viticulture_insert_with_expension,https://tabletopreboxing.shop/feed-images/viticulture_insert_with_expension.jpg,1290 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Viticulture
castle_dice_150gm_tower,Castle Dice Tower,"A castle-themed dice tower that adds flair to every roll. Drop dice in the top, they tumble through internal baffles, and land fairly every time.",https://tabletopreboxing.shop/products/castle_dice_150gm_tower,https://tabletopreboxing.shop/feed-images/castle_dice_150gm_tower.jpg,300 INR,in stock,new,Tabletop Re-Boxing,Dice tower and Trays,
draw_and_discard_78gm_tray,Draw & Discard Tray - 63mm x 89mm cards,A clean two-section tray for draw and discard piles. Fits standard and sleeved cards — keeps your table neat during any card-heavy game.,https://tabletopreboxing.shop/products/draw_and_discard_78gm_tray,https://tabletopreboxing.shop/feed-images/draw_and_discard_78gm_tray.jpg,156 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
hex_dice_tray_70gm,Hexagonal Dice Tray,A hexagonal dice tray with a geometric low-poly base. Keeps dice from flying off the table and looks great doing it.,https://tabletopreboxing.shop/products/hex_dice_tray_70gm,https://tabletopreboxing.shop/feed-images/hex_dice_tray_70gm.jpg,140 INR,in stock,new,Tabletop Re-Boxing,Dice tower and Trays,
smash_castle_dice_tower_290gm,Smash Castle Dice Tower,"A bold, oversized castle dice tower that makes every roll feel dramatic. A real conversation starter on game night.",https://tabletopreboxing.shop/products/smash_castle_dice_tower_290gm,https://tabletopreboxing.shop/feed-images/smash_castle_dice_tower_290gm.webp,580 INR,in stock,new,Tabletop Re-Boxing,Dice tower and Trays,
3_row_playing_card_holder_95gm,3-Row Playing Card Holder,"A curved three-row card holder that fans your hand out neatly. Great for kids, accessibility, or anyone juggling a big hand of cards.",https://tabletopreboxing.shop/products/3_row_playing_card_holder_95gm,https://tabletopreboxing.shop/feed-images/3_row_playing_card_holder_95gm.jpg,190 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
lords_of_waterdeep_skulls_30_pack_140gm,Lords of Waterdeep Skull Tokens (30 Pack),A set of 30 detailed 3D-printed skull tokens for the Scoundrels of Skullport expansion. Replaces the cardboard corruption tokens with satisfyingly tactile miniatures.,https://tabletopreboxing.shop/products/lords_of_waterdeep_skulls_30_pack_140gm,https://tabletopreboxing.shop/feed-images/lords_of_waterdeep_skulls_30_pack_140gm.png,280 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Lords of Waterdeep: Scoundrels of Skullport
twilight_imperium_base_game_700gm_inserts,Twilight Imperium Inserts,A massive multi-tray organizer for Twilight Imperium (4th Edition).,https://tabletopreboxing.shop/products/twilight_imperium_base_game_700gm_inserts,https://tabletopreboxing.shop/feed-images/twilight_imperium_base_game_700gm_inserts.jpg,3900 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Twilight Imperium 4th Edition
old_kings_crown_insert_1200gm,Old King's Crown Inserts (All Expansions),"Variable inserts for Old King's Crown — fits all core and expansion components into a single box with minimal lift, or splits neatly between the core and expansion boxes with no lift at all. Supports premium sleeves and vertical storage. Core box solution: all 3 layers go in the box, followed by the various boards, documents, and finally the game board. 2-box solution: middle layer goes in the expansion box with Simulacrum documents. Bottom and top layers go in the core box with the remaining components.",https://tabletopreboxing.shop/products/old_kings_crown_insert_1200gm,https://tabletopreboxing.shop/feed-images/old_kings_crown_insert_1200gm.jpg,2970 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Old King's Crown
bomb_busters_inserts_740gm,Bomb Busters Inserts,"Custom inserts for Bomb Busters with dedicated slots for every card, tile, and token. Quick setup, clean teardown — everything stays organized between games.",https://tabletopreboxing.shop/products/bomb_busters_inserts_740gm,https://tabletopreboxing.shop/feed-images/bomb_busters_inserts_740gm.jpg,1980 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Bomb Busters
bomb_busters_tile_holder_70gm,Bomb Busters Tile Holder,A purpose-built tile holder for Bomb Busters. Keeps tiles upright and easy to browse during gameplay — no more fumbling through face-down stacks.,https://tabletopreboxing.shop/products/bomb_busters_tile_holder_70gm,https://tabletopreboxing.shop/feed-images/bomb_busters_tile_holder_70gm.jpg,146 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Bomb Busters
cubitos_with_expensions_inserts_700gm,Cubitos Inserts (with Expansions),"Inserts for Cubitos designed to fit the Fowl Play expansion along with the GeekUp Storage Bin Set. If you don't have the GeekUp bins, a custom-designed display bin is included. Lids are only needed for the 2 bins with their tops exposed. Supports sleeved cards.",https://tabletopreboxing.shop/products/cubitos_with_expensions_inserts_700gm,https://tabletopreboxing.shop/feed-images/cubitos_with_expensions_inserts_700gm.jpg,1750 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Cubitos
deep_sea_adventure_insert_60gm,Deep Sea Adventure Inserts,"Compact inserts for Deep Sea Adventure. Keeps all the treasure tokens, dice, and diver pieces snug in the tiny box — perfect for this pocket-sized push-your-luck classic.",https://tabletopreboxing.shop/products/deep_sea_adventure_insert_60gm,https://tabletopreboxing.shop/feed-images/deep_sea_adventure_insert_60gm.jpg,120 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Deep Sea Adventure
bomb_busters_tile_holder_preminum_130gm,Bomb Busters Premium Tile Holder,A premium labeled tile holder for Bomb Busters with individual A–P slots. Keeps all 16 tiles sorted and instantly accessible during gameplay.,https://tabletopreboxing.shop/products/bomb_busters_tile_holder_preminum_130gm,https://tabletopreboxing.shop/feed-images/bomb_busters_tile_holder_preminum_130gm.jpeg,290 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Bomb Busters
mountain_goats_145gm,Mountain Goats Inserts,"Custom inserts for Mountain Goats with individual trays for each player's goat pieces, dice holders, and card slots. Keeps all the colorful components sorted and ready to play.",https://tabletopreboxing.shop/products/mountain_goats_145gm,https://tabletopreboxing.shop/feed-images/mountain_goats_145gm.jpg,290 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Mountain Goats
straight_2_cards_slot_holder_40gm,2-Slot Card Stand - 20cm long,A straight two-slot card stand that holds cards upright for easy viewing. Perfect for games with tableau or display cards — keeps them visible without taking up table space.,https://tabletopreboxing.shop/products/straight_2_cards_slot_holder_40gm,https://tabletopreboxing.shop/feed-images/straight_2_cards_slot_holder_40gm.jpg,85 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
splendor_base_game_insert_440gm,Splendor Inserts,"Full inserts for Splendor with dedicated slots for all gem token stacks, card tiers, and noble tiles. Everything fits snugly in the original box — open and play in seconds.",https://tabletopreboxing.shop/products/splendor_base_game_insert_440gm,https://tabletopreboxing.shop/feed-images/splendor_base_game_insert_440gm.jpg,880 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Splendor
splendor_travel_case-210gm,Splendor Travel Case,A compact branded travel case for Splendor that holds all cards and gem tokens in a portable package. Take your favorite engine-builder anywhere.,https://tabletopreboxing.shop/products/splendor_travel_case-210gm,https://tabletopreboxing.shop/feed-images/splendor_travel_case-210gm.jpg,420 INR,in stock,new,Tabletop Re-Boxing,Travel Boxes,Splendor
mountain_goat_meeple,Mountain Goat Meeple,"A chunky 3D-printed goat meeple to upgrade or replace the original Mountain Goats pieces. Cute, tactile, and fun to place on the mountain peaks.",https://tabletopreboxing.shop/products/mountain_goat_meeple,https://tabletopreboxing.shop/feed-images/mountain_goat_meeple.png,9 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Mountain Goats
ticket_to_ride_train_tray_19gm,Ticket to Ride Trains Tray,Order saperatly for different colors. A slim tray to hold your train cars during a game of Ticket to Ride. Keeps your pieces organized and easy to grab when claiming routes.,https://tabletopreboxing.shop/products/ticket_to_ride_train_tray_19gm,https://tabletopreboxing.shop/feed-images/ticket_to_ride_train_tray_19gm.webp,38 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Ticket to Ride
ticket_to_ride_trains_and_station_organizer_70gm,Ticket to Ride Trains & Station Organizer,Order saperatly for different colors. An all-in-one organizer for Ticket to Ride that holds trains and station pieces together. Each player's set stays sorted and ready for the next game.,https://tabletopreboxing.shop/products/ticket_to_ride_trains_and_station_organizer_70gm,https://tabletopreboxing.shop/feed-images/ticket_to_ride_trains_and_station_organizer_70gm.webp,140 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Ticket to Ride
ticket_to_ride_trains_storage_65gm,Ticket to Ride Trains Storage,Order saperatly for different colors. A dedicated storage tray for Ticket to Ride train cars. Keeps all player colors separated in the box so setup is instant next time.,https://tabletopreboxing.shop/products/ticket_to_ride_trains_storage_65gm,https://tabletopreboxing.shop/feed-images/ticket_to_ride_trains_storage_65gm.webp,130 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Ticket to Ride
cosmic_encounter_dominion_incursion_inserts_700gm,Cosmic Encounter Inserts with Dominion & Incursion Expansions,"It will be in single color. Image is for reference only. Full inserts for Cosmic Encounter with Dominion and Incursion expansions. Organizes all alien sheets, cards, ships, and tokens with dedicated compartments — fits everything back in the original box.",https://tabletopreboxing.shop/products/cosmic_encounter_dominion_incursion_inserts_700gm,https://tabletopreboxing.shop/feed-images/cosmic_encounter_dominion_incursion_inserts_700gm.webp,1470 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Cosmic Encounter
arcs_inserts_with_leaders_and_lore_expension_940gms_multicolor,Arcs Inserts with Leaders & Lore Expansion,"It will be multicolor insert. Organizer for Arcs: Conflict & Collapse in the Reach by Leder Games, including space for cards from Leaders & Lore expansion. Everything in the base game still fits in the box, and there is an additional open cube in the Dice tray for any extras. Tray 3 (Dice & Tokens) can either stack above or below the Token 1 & 2 trays.",https://tabletopreboxing.shop/products/arcs_inserts_with_leaders_and_lore_expension_940gms_multicolor,https://tabletopreboxing.shop/feed-images/arcs_inserts_with_leaders_and_lore_expension_940gms_multicolor.webp,1760 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Arcs
d6_dice_4gm_10mm_to_20mm_size,D6 Dice,"A 3D-printed D6 die available in multiple sizes — from compact 10mm to chunky 20mm. Lightweight, rolls well, and comes in your choice of color.",https://tabletopreboxing.shop/products/d6_dice_4gm_10mm_to_20mm_size,https://tabletopreboxing.shop/feed-images/d6_dice_4gm_10mm_to_20mm_size.webp,8 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,
catan_board_organizer_210gm,Catan Board Organizer,Keeps your Catan board tiles organized and easy to set up. Holds the hex tiles neatly so you can build the island faster and pack away without a scramble.,https://tabletopreboxing.shop/products/catan_board_organizer_210gm,https://tabletopreboxing.shop/feed-images/catan_board_organizer_210gm.png,420 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Catan
catan_cities_and_knights_cards_set_of_2_trays_with_lid_220gm,Catan Cities & Knights Magnetic Card Trays (Set of 2 trays with 1 lid),A set of two lidded card trays for Catan Cities & Knights. Each tray holds a deck with the lid keeping cards secure when not in play.,https://tabletopreboxing.shop/products/catan_cities_and_knights_cards_set_of_2_trays_with_lid_220gm,https://tabletopreboxing.shop/feed-images/catan_cities_and_knights_cards_set_of_2_trays_with_lid_220gm.webp,440 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Catan Cities & Knights
catan_cities_and_knights_player_meeple_organizer_115gm,Catan Cities & Knights Player Meeple Organizer,A dedicated organizer for Catan Cities & Knights player meeples. Keeps each player's pieces sorted and ready — no more fishing through a shared pile.,https://tabletopreboxing.shop/products/catan_cities_and_knights_player_meeple_organizer_115gm,https://tabletopreboxing.shop/feed-images/catan_cities_and_knights_player_meeple_organizer_115gm.webp,150 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Catan Cities & Knights
catan_cities_and_knights_token_holder_with_lid_195gm,Catan Cities & Knights Token Holder with Lid,"A lidded token holder for Catan Cities & Knights. Keeps all progress tokens, city tokens, and other bits organized and protected between sessions.",https://tabletopreboxing.shop/products/catan_cities_and_knights_token_holder_with_lid_195gm,https://tabletopreboxing.shop/feed-images/catan_cities_and_knights_token_holder_with_lid_195gm.webp,390 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,Catan Cities & Knights
mountain_tile_2_to_5_cms_7gm,Mountain Tile (2–5cm),A compact mountain-tile for Catan or similar games. Fits tiles from 2cm to 5cm.,https://tabletopreboxing.shop/products/mountain_tile_2_to_5_cms_7gm,https://tabletopreboxing.shop/feed-images/mountain_tile_2_to_5_cms_7gm.webp,14 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,
scrable_tile_holder_10cm_to_16cm_20gm,Scrabble Tile Holder (10–16cm),A Scrabble-style tile holder with adjustable length. Fits boards from 10cm to 16cm wide. Keeps your letters organized and visible during word-building.,https://tabletopreboxing.shop/products/scrable_tile_holder_10cm_to_16cm_20gm,https://tabletopreboxing.shop/feed-images/scrable_tile_holder_10cm_to_16cm_20gm.webp,40 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,
single_card_tray_customizable_45gm,Single Card Tray (Customizable),"A single-slot card tray you can customize. Specify your preferred size and we'll tailor it to fit your game. Great for draw piles, discard piles, or reference cards.",https://tabletopreboxing.shop/products/single_card_tray_customizable_45gm,https://tabletopreboxing.shop/feed-images/single_card_tray_customizable_45gm.webp,90 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
card_organizer_cum_draw_tray_62gm,Card Storage & Draw Tray (Customizable),A dual-purpose tray that organizes cards and doubles as a draw tray. Keeps your deck tidy and gives you a dedicated spot to draw from during play.,https://tabletopreboxing.shop/products/card_organizer_cum_draw_tray_62gm,https://tabletopreboxing.shop/feed-images/card_organizer_cum_draw_tray_62gm.jpg,124 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
carcassonne_travel_box_220gm,Carcassonne Travel Box,A compact travel box for Carcassonne. Holds all tiles and meeples in a portable case so you can take this classic tile-laying game anywhere.,https://tabletopreboxing.shop/products/carcassonne_travel_box_220gm,https://tabletopreboxing.shop/feed-images/carcassonne_travel_box_220gm.webp,440 INR,in stock,new,Tabletop Re-Boxing,Travel Boxes,Carcassonne
cards_storage_customizable_boxes_52gm,Card Storage Boxes (Customizable),Customizable card storage boxes. Specify your desired size and we'll tailor them to fit your deck. Great for organizing game cards or keeping decks protected.,https://tabletopreboxing.shop/products/cards_storage_customizable_boxes_52gm,https://tabletopreboxing.shop/feed-images/cards_storage_customizable_boxes_52gm.webp,94 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
dune_war_for_arrakis_insert_with_both_exp_1230g,Dune: War for Arrakis Insert with support for expansions (Smugglers & The Spacing Guild),Insert for Dune: War for Arrakis with both expansions (Smugglers and The Spacing Guild). Fits plastic tokens and sleeved cards. Keeps the base game and expansion components organized in one box.,https://tabletopreboxing.shop/products/dune_war_for_arrakis_insert_with_both_exp_1230g,https://tabletopreboxing.shop/feed-images/dune_war_for_arrakis_insert_with_both_exp_1230g.webp,2460 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Dune: War for Arrakis
modular_card_and_resource_tray_with_round_card_holder_225gm,Modular Card & Resource Tray with Round Card Holder,Modular tray that combines card and resource storage with a round card holder. Keeps cards upright and resources organized at the table.,https://tabletopreboxing.shop/products/modular_card_and_resource_tray_with_round_card_holder_225gm,https://tabletopreboxing.shop/feed-images/modular_card_and_resource_tray_with_round_card_holder_225gm.webp,450 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
player_score_tracker_45gm,Player Score Tracker,A compact 3D-printed score tracker to keep track of player scores during board games. Sturdy and easy to read.,https://tabletopreboxing.shop/products/player_score_tracker_45gm,https://tabletopreboxing.shop/feed-images/player_score_tracker_45gm.jpg,90 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,
catapult_dice_tower_385gm,Catapult Dice Tower,A 3D-printed dice tower with a catapult theme. Roll dice from the top and watch them tumble into the tray. Fun and functional for any board game.,https://tabletopreboxing.shop/products/catapult_dice_tower_385gm,https://tabletopreboxing.shop/feed-images/catapult_dice_tower_385gm.jpg,770 INR,in stock,new,Tabletop Re-Boxing,Dice tower and Trays,
scout_game_inserts_43gm,Scout Game Inserts,Compact inserts for Scout card game. Keeps cards organized and the box tidy.,https://tabletopreboxing.shop/products/scout_game_inserts_43gm,https://tabletopreboxing.shop/feed-images/scout_game_inserts_43gm.webp,86 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Scout
interlocking_resource_trays_24gm,Interlocking Resource Trays,Lightweight interlocking trays for resources and tokens. Stack or connect them to organize your table. Great for any board game.,https://tabletopreboxing.shop/products/interlocking_resource_trays_24gm,https://tabletopreboxing.shop/feed-images/interlocking_resource_trays_24gm.jpg,48 INR,in stock,new,Tabletop Re-Boxing,Card and Resource Trays,
clank_catacombs_inserts_with_expansion_1450gm,Clank! Catacombs Insert (with Expansions),"Full insert for Clank! Catacombs designed to fit Lairs and Lost Chambers and Adventuring Party. All trays are removable. Includes market trays for displaying cards, a reserve tray with slide-out Goblin card holder, trays for every resource and token type, and individual player trays for cards, clank, meeples, and tokens. Also has Monkey Idol and market token display trays. Works without Adventuring Party or Lairs and Lost Chambers too — you’ll have extra space and only need to print four player trays. Tested with sleeved cards (68×93mm, e.g. Gamegenic and KMC Hypermat).",https://tabletopreboxing.shop/products/clank_catacombs_inserts_with_expansion_1450gm,https://tabletopreboxing.shop/feed-images/clank_catacombs_inserts_with_expansion_1450gm.webp,2900 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Clank! Catacombs
portable_personal_dice_tray_fold_to_close_61gm,Portable Personal Dice Tray (Fold to Close),"A compact personal dice tray that folds shut for storage or travel. Roll dice in the tray during play, then fold it closed to keep everything tidy. Perfect for board game nights or on the go.",https://tabletopreboxing.shop/products/portable_personal_dice_tray_fold_to_close_61gm,https://tabletopreboxing.shop/feed-images/portable_personal_dice_tray_fold_to_close_61gm.webp,122 INR,in stock,new,Tabletop Re-Boxing,Dice tower and Trays,
full_dice_set_kit_Card_DIY_18gm,Full Dice Set Kit with Card (DIY),"A compact dice set kit with a card — ideal for DIY projects, board games, or as a small gift. Lightweight and easy to pack.",https://tabletopreboxing.shop/products/full_dice_set_kit_Card_DIY_18gm,https://tabletopreboxing.shop/feed-images/full_dice_set_kit_Card_DIY_18gm.webp,36 INR,in stock,new,Tabletop Re-Boxing,Other Accessories,
Dune_Imperium_uprising_insert_base_game_1200gm,Dune: Imperium Uprising Insert (Base Game),"Insert for Dune: Imperium Uprising base game. Keeps factions, cards, and tokens organized for faster setup and teardown.",https://tabletopreboxing.shop/products/Dune_Imperium_uprising_insert_base_game_1200gm,https://tabletopreboxing.shop/feed-images/Dune_Imperium_uprising_insert_base_game_1200gm.webp,2400 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Dune: Imperium Uprising
dune_imperium_base_game_insert_980gm,Dune: Imperium Insert (Base Game),"Insert for Dune: Imperium base game. Organizes all cards, tokens, and components so you can get to the table faster.",https://tabletopreboxing.shop/products/dune_imperium_base_game_insert_980gm,https://tabletopreboxing.shop/feed-images/dune_imperium_base_game_insert_980gm.webp,1960 INR,in stock,new,Tabletop Re-Boxing,Board Game Inserts,Dune: Imperium
arc_nova_coins_upgrade_120gm,Ark Nova Coins Upgrade,Premium coin tokens for Ark Nova. Upgrade from cardboard to satisfying 3D-printed coins that match the theme.,https://tabletopreboxing.shop/products/arc_nova_coins_upgrade_120gm,https://tabletopreboxing.shop/feed-images/arc_nova_coins_upgrade_120gm.webp,240 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Ark Nova
brass_birmingham_coins_upgrade_110gm,Brass: Birmingham Coins Upgrade,Premium 3D-printed coin tokens for Brass: Birmingham. Replace cardboard money with tactile coins that fit the industrial theme.,https://tabletopreboxing.shop/products/brass_birmingham_coins_upgrade_110gm,https://tabletopreboxing.shop/feed-images/brass_birmingham_coins_upgrade_110gm.webp,220 INR,in stock,new,Tabletop Re-Boxing,Board Game Upgrades,Brass: Birmingham
